slang,normal
tmn,teman
tmpt,tempat 
tng,tentang
tp,tetapi
tq,terima kasih
tradisionil,tradisional
trampil,terampil
traveokanya,travelokanya
trf,transfer
trgantung,tergantung
trimakasih,terima kasih
trims,terima kasih
trm ksh,terima kasih
trmn ksh,terima kasih
trnsksi,transaksi
trotoir,trotoar
trs,terus
trs,terus
trsbt,tersebut
trus,terus
trus,terus
trus,terus
trus,terus
trus,terus
tsb,tersebut
ttg,tentang
ttg,tentang
tuket,tiket
twma,tema
uchul,lucu
uda ,sudah
uda,sudah
udah,sudah
udah,sudah
udh,sudah
ujud,wujud
untk,untuk
untk,untuk
utk,untuk
varitas,varietas
w,saya
w,saya
wad,buat
wasallam,wasalam
wat,buat
wkt,waktu
x,sangat
y,ya
yach,yah
yg,yang
yg,yang
yukz,yuk
yupz,ya
yuqz,yuk
zone,zona
